,mean,std_deviation
UD_Finnish-FTB,1.5191479784107955,0.10277365549084724
UD_Basque,1.5695969550596245,0.03643781826910848
UD_Finnish,1.601418900435777,0.17482757382811678
UD_Czech,1.6666432055509584,0.11694483243231515
UD_Indonesian,1.688530067524903,0.0467126529660269
UD_Hebrew,1.7018237564170586,0.07937403695492179
UD_German,1.7321438118496608,0.07864124550083806
UD_Hungarian,1.7366326135829784,0.06721444493751108
UD_Greek,1.8079051964296926,0.052342006708250045
UD_Croatian,1.8091313353507916,0.08270337324348484
UD_Danish,1.8646757210033902,0.058949527920925636
UD_Bulgarian,1.8732729011659286,0.20879437308755514
UD_French,1.8881619344810143,0.04326026365431758
UD_Spanish,1.8939600485228025,0.044789947903040396
UD_Irish,1.9217268173425661,0.096752317568862
UD_Swedish,2.0955078990283154,0.14385210309097596
UD_Italian,2.1497259665268684,0.25573880913709374
UD_Persian,2.2855316620523474,0.2595738761186126
UD_English,2.29522309212982,0.2139182941383054
